rank,title,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid
1,Garena Free Fire- World Series,86273129,500.0 M,4,2.1,6.9,0,GAME ACTION,63546766,4949507,3158756,2122183,12495915,FALSE
1,Clash of Clans,55766763,500.0 M,4,0.3,1,0,GAME STRATEGY,43346128,5404966,2276203,971321,3768141,FALSE
2,PUBG MOBILE - Traverse,37276732,500.0 M,4,1.8,3.6,0,GAME ACTION,28339753,2164478,1253185,809821,4709492,FALSE
1,Subway Surfers,35665901,1000.0 M,4,0.5,1,0,GAME ARCADE,27138572,3366600,1622695,814890,2723142,FALSE
1,Candy Crush Saga,31367945,1000.0 M,4,0.9,1.6,0,GAME CASUAL,23837448,4176798,1534041,486005,1333650,FALSE
2,Clash Royale,30852360,100.0 M,4,0.4,0.8,0,GAME STRATEGY,21009004,3645468,1655906,777067,3764913,FALSE
3,Mobile Legends: Bang Bang,26663595,100.0 M,4,1.5,3.2,0,GAME ACTION,18777988,1812094,1050600,713912,4308998,FALSE
1,Roblox,21820451,100.0 M,4,2.6,5.7,0,GAME ADVENTURE,16674013,1916826,822266,423122,1984222,FALSE
1,8 Ball Pool,21632735,500.0 M,4,1.2,630.8,0,GAME SPORTS,16281475,2268294,1017204,425693,1640067,FALSE
4,Brawl Stars,17971552,100.0 M,4,1.4,4.4,0,GAME ACTION,13018610,1552950,774012,406184,2219794,FALSE
